snapshot_id,capture_file,captured_at,train_number,train_name,journey_date,current_station_code,status_note,total_stations,timeline_station_count,max_observed_delay_minutes,average_observed_delay_minutes,delay_observation_count,has_delay
12002_2026-09-04T12:44:28.726906,data/raw_real/railkit/live_train_12002_04092026_20260904_124428.json,2026-09-04T12:44:28.726906,12002,SHATABDI EXPRES,04-Sep-2026,RKMP,Arrived at RANI KAMALAPATI(RKMP) at 14:46 04-Sep (Delay: 00:06),93,93,25.0,16.05,20,1
12002_2026-09-04T16:24:32.391064,data/raw_real/railkit/live_train_12002_04092026_20260904_162431.json,2026-09-04T16:24:32.391064,12002,SHATABDI EXPRES,04-Sep-2026,RKMP,Arrived at RANI KAMALAPATI(RKMP) at 14:46 04-Sep (Delay: 00:06),93,93,25.0,16.05,20,1
12301_2026-09-04T12:40:23.881045,data/raw_real/railkit/live_train_12301_04092026_20260904_124022.json,2026-09-04T12:40:23.881045,12301,RAJDHANI EXPRES,04-Sep-2026,PAJ,Departed from PARAJ(PAJ) at 18:08 04-Sep,256,256,0.0,0.0,16,0
12301_2026-09-04T12:43:01.123662,data/raw_real/railkit/live_train_12301_04092026_20260904_124259.json,2026-09-04T12:43:01.123662,12301,RAJDHANI EXPRES,04-Sep-2026,PAJ,Departed from PARAJ(PAJ) at 18:08 04-Sep,256,256,0.0,0.0,16,0
12301_2026-09-04T12:44:25.551222,data/raw_real/railkit/live_train_12301_04092026_20260904_124424.json,2026-09-04T12:44:25.551222,12301,RAJDHANI EXPRES,04-Sep-2026,MNAE,Departed from MANKAR(MNAE) at 18:12 04-Sep,256,256,0.0,0.0,16,0
12904_2026-09-04T12:44:28.112875,data/raw_real/railkit/live_train_12904_04092026_20260904_124425.json,2026-09-04T12:44:28.112875,12904,GOLDEN TEMPLE M,04-Sep-2026,ASR,Yet to start from its source,278,278,0.0,0.0,66,0
20164_2026-09-04T16:24:33.108813,data/raw_real/railkit/live_train_20164_04092026_20260904_162432.json,2026-09-04T16:24:33.108813,20164,JBP BDTS SF EXP,04-Sep-2026,PRKD,Departed from POWERKHEDA(PRKD) at 21:48 04-Sep,185,185,50.0,9.041666666666666,24,1
22946_2026-09-04T16:24:34.565482,data/raw_real/railkit/live_train_22946_04092026_20260904_162433.json,2026-09-04T16:24:34.565482,22946,SAURASHTRA MAIL,04-Sep-2026,ANND,Arrived at ANAND JN(ANND) at 21:49 04-Sep (Delay: 00:12),172,172,24.0,7.245614035087719,57,1
